ChangeType;ModelSize;UserSize;NumberOfLegs;ExecutionTime(nano)
AddConsumeReference;64;64;65;51546
DeleteConsumeReference;64;64;65;80659
AddSignal;128;1;2;416160
DeleteSignal;128;1;2;516110
AddConsumeReference;128;1;2;107483
DeleteConsumeReference;128;1;2;366652
AddSignal;128;2;3;145889
DeleteSignal;128;2;3;514465
AddConsumeReference;128;2;3;92556
DeleteConsumeReference;128;2;3;262291
AddSignal;128;4;5;101050
DeleteSignal;128;4;5;447748
AddConsumeReference;128;4;5;60468
DeleteConsumeReference;128;4;5;132897
AddSignal;128;8;9;183549
DeleteSignal;128;8;9;287260
AddConsumeReference;128;8;9;164701
DeleteConsumeReference;128;8;9;234317
AddSignal;128;16;17;283304
DeleteSignal;128;16;17;198657
AddConsumeReference;128;16;17;99575
DeleteConsumeReference;128;16;17;328379
AddSignal;128;32;33;124639
DeleteSignal;128;32;33;208793
AddConsumeReference;128;32;33;53101
DeleteConsumeReference;128;32;33;103443
AddSignal;128;64;65;146964
DeleteSignal;128;64;65;167155
AddConsumeReference;128;64;65;80306
DeleteConsumeReference;128;64;65;80313
AddSignal;256;1;2;109605
DeleteSignal;256;1;2;169345
AddConsumeReference;256;1;2;104732
DeleteConsumeReference;256;1;2;233279
AddSignal;256;2;3;70372
DeleteSignal;256;2;3;123435
AddConsumeReference;256;2;3;46108
DeleteConsumeReference;256;2;3;78757
AddSignal;256;4;5;156582
DeleteSignal;256;4;5;228712
AddConsumeReference;256;4;5;65273
DeleteConsumeReference;256;4;5;134499
AddSignal;256;8;9;72053
DeleteSignal;256;8;9;300830
AddConsumeReference;256;8;9;72139
DeleteConsumeReference;256;8;9;182482
AddSignal;256;16;17;69918
DeleteSignal;256;16;17;306839
AddConsumeReference;256;16;17;79611
DeleteConsumeReference;256;16;17;102976
AddSignal;256;32;33;158991
DeleteSignal;256;32;33;131502
AddConsumeReference;256;32;33;50139
DeleteConsumeReference;256;32;33;79303
