ChangeType;ModelSize;UserSize;NumberOfLegs;ExecutionTime(nano)
AddSignal;32;8;9;74143
DeleteSignal;32;8;9;279341
AddConsumeReference;32;8;9;104356
DeleteConsumeReference;32;8;9;76714
AddSignal;32;16;17;74609
DeleteSignal;32;16;17;276419
AddConsumeReference;32;16;17;52197
DeleteConsumeReference;32;16;17;81899
AddSignal;32;32;33;107371
DeleteSignal;32;32;33;124481
AddConsumeReference;32;32;33;47814
DeleteConsumeReference;32;32;33;73015
AddSignal;32;64;65;70236
DeleteSignal;32;64;65;126095
AddConsumeReference;32;64;65;46476
DeleteConsumeReference;32;64;65;71741
AddSignal;32;128;129;73570
DeleteSignal;32;128;129;274910
AddConsumeReference;32;128;129;56336
DeleteConsumeReference;32;128;129;75702
AddSignal;64;1;2;74100
DeleteSignal;64;1;2;119535
AddConsumeReference;64;1;2;52778
DeleteConsumeReference;64;1;2;73527
AddSignal;64;2;3;73969
DeleteSignal;64;2;3;128931
AddConsumeReference;64;2;3;103905
DeleteConsumeReference;64;2;3;120365
AddSignal;64;4;5;73124
DeleteSignal;64;4;5;354925
AddConsumeReference;64;4;5;61916
DeleteConsumeReference;64;4;5;191072
AddSignal;64;8;9;74481
DeleteSignal;64;8;9;323457
AddConsumeReference;64;8;9;58449
DeleteConsumeReference;64;8;9;137197
AddSignal;64;16;17;150698
DeleteSignal;64;16;17;269778
AddConsumeReference;64;16;17;48954
DeleteConsumeReference;64;16;17;153524
AddSignal;64;32;33;191161
DeleteSignal;64;32;33;204733
AddConsumeReference;64;32;33;51920
DeleteConsumeReference;64;32;33;77704
AddSignal;64;64;65;75532
DeleteSignal;64;64;65;166650
AddConsumeReference;64;64;65;47612
DeleteConsumeReference;64;64;65;154552
AddSignal;128;1;2;184882
DeleteSignal;128;1;2;724153
AddConsumeReference;128;1;2;115744
DeleteConsumeReference;128;1;2;200428
AddSignal;128;2;3;292701
DeleteSignal;128;2;3;425014
AddConsumeReference;128;2;3;52948
DeleteConsumeReference;128;2;3;179088
AddSignal;128;4;5;95282
DeleteSignal;128;4;5;382454
AddConsumeReference;128;4;5;111779
DeleteConsumeReference;128;4;5;388733
AddSignal;128;8;9;160458
DeleteSignal;128;8;9;774480
AddConsumeReference;128;8;9;86740
DeleteConsumeReference;128;8;9;154013
AddSignal;128;16;17;95295
DeleteSignal;128;16;17;415024
AddConsumeReference;128;16;17;49025
DeleteConsumeReference;128;16;17;82007
AddSignal;128;32;33;71514
DeleteSignal;128;32;33;187608
AddConsumeReference;128;32;33;70463
DeleteConsumeReference;128;32;33;162235
AddSignal;128;64;65;72907
DeleteSignal;128;64;65;332834
AddConsumeReference;128;64;65;48358
DeleteConsumeReference;128;64;65;77352
AddSignal;256;1;2;78795
DeleteSignal;256;1;2;196803
AddConsumeReference;256;1;2;70510
DeleteConsumeReference;256;1;2;83028
AddSignal;256;2;3;75536
DeleteSignal;256;2;3;325143
AddConsumeReference;256;2;3;52408
DeleteConsumeReference;256;2;3;264567
AddSignal;256;4;5;76941
DeleteSignal;256;4;5;162569
AddConsumeReference;256;4;5;53841
DeleteConsumeReference;256;4;5;82497
AddSignal;256;8;9;76176
DeleteSignal;256;8;9;135189
AddConsumeReference;256;8;9;66709
DeleteConsumeReference;256;8;9;84493
AddSignal;256;16;17;76475
DeleteSignal;256;16;17;140443
AddConsumeReference;256;16;17;51659
DeleteConsumeReference;256;16;17;84968
AddSignal;256;32;33;81139
DeleteSignal;256;32;33;225702
AddConsumeReference;256;32;33;51603
DeleteConsumeReference;256;32;33;106336
