ChangeType;ModelSize;UserSize;NumberOfLegs;ExecutionTime(nano)
AddSignal;1;1;2;314713
DeleteSignal;1;1;2;521627
AddConsumeReference;1;1;2;199895
DeleteConsumeReference;1;1;2;256611
AddSignal;1;2;3;267160
DeleteSignal;1;2;3;1027674
AddConsumeReference;1;2;3;118350
DeleteConsumeReference;1;2;3;195538
AddSignal;1;4;5;212775
DeleteSignal;1;4;5;281746
AddConsumeReference;1;4;5;51545
DeleteConsumeReference;1;4;5;161987
AddSignal;2;1;2;397057
DeleteSignal;2;1;2;270829
AddConsumeReference;2;1;2;89859
DeleteConsumeReference;2;1;2;137182
AddSignal;2;2;3;450123
DeleteSignal;2;2;3;256100
AddConsumeReference;2;2;3;78368
DeleteConsumeReference;2;2;3;117170
AddSignal;2;4;5;608711
DeleteSignal;2;4;5;585998
AddConsumeReference;2;4;5;100277
DeleteConsumeReference;2;4;5;160200
AddSignal;2;8;9;131662
DeleteSignal;2;8;9;239837
AddConsumeReference;2;8;9;161528
DeleteConsumeReference;2;8;9;106275
AddSignal;4;1;2;740255
DeleteSignal;4;1;2;237223
AddConsumeReference;4;1;2;68864
DeleteConsumeReference;4;1;2;103033
AddSignal;4;2;3;198188
DeleteSignal;4;2;3;214235
AddConsumeReference;4;2;3;96867
DeleteConsumeReference;4;2;3;115048
AddSignal;4;4;5;146161
DeleteSignal;4;4;5;173260
AddConsumeReference;4;4;5;156165
DeleteConsumeReference;4;4;5;104433
AddSignal;4;8;9;82980
DeleteSignal;4;8;9;135906
AddConsumeReference;4;8;9;52745
DeleteConsumeReference;4;8;9;73686
AddSignal;4;16;17;143324
DeleteSignal;4;16;17;155085
AddConsumeReference;4;16;17;59206
DeleteConsumeReference;4;16;17;83513
AddSignal;8;1;2;78200
DeleteSignal;8;1;2;451649
AddConsumeReference;8;1;2;56406
DeleteConsumeReference;8;1;2;82541
AddSignal;8;2;3;79236
DeleteSignal;8;2;3;295813
AddConsumeReference;8;2;3;55144
DeleteConsumeReference;8;2;3;85317
AddSignal;8;4;5;98969
DeleteSignal;8;4;5;133333
AddConsumeReference;8;4;5;51999
DeleteConsumeReference;8;4;5;225506
AddSignal;8;8;9;93807
DeleteSignal;8;8;9;151064
AddConsumeReference;8;8;9;52842
DeleteConsumeReference;8;8;9;102525
AddSignal;8;16;17;75185
DeleteSignal;8;16;17;152382
AddConsumeReference;8;16;17;61302
DeleteConsumeReference;8;16;17;79372
AddSignal;8;32;33;74656
DeleteSignal;8;32;33;172781
AddConsumeReference;8;32;33;51230
DeleteConsumeReference;8;32;33;229681
AddSignal;16;1;2;129315
DeleteSignal;16;1;2;168815
AddConsumeReference;16;1;2;47615
DeleteConsumeReference;16;1;2;75394
AddSignal;16;2;3;72893
DeleteSignal;16;2;3;127251
AddConsumeReference;16;2;3;47933
DeleteConsumeReference;16;2;3;76537
AddSignal;16;4;5;73066
DeleteSignal;16;4;5;328935
AddConsumeReference;16;4;5;53427
DeleteConsumeReference;16;4;5;80755
AddSignal;16;8;9;103282
DeleteSignal;16;8;9;125738
AddConsumeReference;16;8;9;102782
DeleteConsumeReference;16;8;9;160857
AddSignal;16;16;17;68348
DeleteSignal;16;16;17;204155
AddConsumeReference;16;16;17;50951
DeleteConsumeReference;16;16;17;348084
AddSignal;16;32;33;68598
DeleteSignal;16;32;33;145575
AddConsumeReference;16;32;33;48823
DeleteConsumeReference;16;32;33;73901
AddSignal;16;64;65;71086
DeleteSignal;16;64;65;357651
AddConsumeReference;16;64;65;96533
DeleteConsumeReference;16;64;65;305911
AddSignal;32;1;2;71958
DeleteSignal;32;1;2;130380
AddConsumeReference;32;1;2;61457
DeleteConsumeReference;32;1;2;72506
AddSignal;32;2;3;74511
DeleteSignal;32;2;3;152509
AddConsumeReference;32;2;3;53074
DeleteConsumeReference;32;2;3;77979
AddSignal;32;4;5;77686
DeleteSignal;32;4;5;123475
AddConsumeReference;32;4;5;46871
DeleteConsumeReference;32;4;5;147797
