ChangeType;ModelSize;UserSize;NumberOfLegs;ExecutionTime(nano)
DeleteSignal;64;64;65;128772
AddConsumeReference;64;64;65;51641
DeleteConsumeReference;64;64;65;77771
AddSignal;128;1;2;289096
DeleteSignal;128;1;2;891790
AddConsumeReference;128;1;2;106451
DeleteConsumeReference;128;1;2;377567
AddSignal;128;2;3;115609
DeleteSignal;128;2;3;1210291
AddConsumeReference;128;2;3;82752
DeleteConsumeReference;128;2;3;181186
AddSignal;128;4;5;128356
DeleteSignal;128;4;5;298740
AddConsumeReference;128;4;5;51146
DeleteConsumeReference;128;4;5;174044
AddSignal;128;8;9;69861
DeleteSignal;128;8;9;638570
AddConsumeReference;128;8;9;51050
DeleteConsumeReference;128;8;9;85890
AddSignal;128;16;17;70548
DeleteSignal;128;16;17;213392
AddConsumeReference;128;16;17;74333
DeleteConsumeReference;128;16;17;121937
AddSignal;128;32;33;74726
DeleteSignal;128;32;33;203017
AddConsumeReference;128;32;33;42855
DeleteConsumeReference;128;32;33;90071
AddSignal;128;64;65;145566
DeleteSignal;128;64;65;131770
AddConsumeReference;128;64;65;49098
DeleteConsumeReference;128;64;65;77288
AddSignal;256;1;2;233245
DeleteSignal;256;1;2;907338
AddConsumeReference;256;1;2;149545
DeleteConsumeReference;256;1;2;724885
AddSignal;256;2;3;147327
DeleteSignal;256;2;3;1139457
AddConsumeReference;256;2;3;50516
DeleteConsumeReference;256;2;3;126776
AddSignal;256;4;5;300639
DeleteSignal;256;4;5;243531
AddConsumeReference;256;4;5;50224
DeleteConsumeReference;256;4;5;83005
AddSignal;256;8;9;283580
DeleteSignal;256;8;9;211150
AddConsumeReference;256;8;9;47593
DeleteConsumeReference;256;8;9;84091
AddSignal;256;16;17;72154
DeleteSignal;256;16;17;254406
AddConsumeReference;256;16;17;53740
DeleteConsumeReference;256;16;17;102022
AddSignal;256;32;33;80394
DeleteSignal;256;32;33;347846
AddConsumeReference;256;32;33;106811
DeleteConsumeReference;256;32;33;579855
