ChangeType;ModelSize;UserSize;NumberOfLegs;ExecutionTime(nano)
AddSignal;1;1;2;308172
DeleteSignal;1;1;2;1120704
AddConsumeReference;1;1;2;57403
DeleteConsumeReference;1;1;2;266579
AddSignal;1;2;3;288111
DeleteSignal;1;2;3;281152
AddConsumeReference;1;2;3;153095
DeleteConsumeReference;1;2;3;310578
AddSignal;1;4;5;236433
DeleteSignal;1;4;5;307924
AddConsumeReference;1;4;5;118086
DeleteConsumeReference;1;4;5;203221
AddSignal;2;1;2;230541
DeleteSignal;2;1;2;851978
AddConsumeReference;2;1;2;162418
DeleteConsumeReference;2;1;2;136698
AddSignal;2;2;3;533257
DeleteSignal;2;2;3;517640
AddConsumeReference;2;2;3;75056
DeleteConsumeReference;2;2;3;127582
AddSignal;2;4;5;239451
DeleteSignal;2;4;5;272583
AddConsumeReference;2;4;5;92076
DeleteConsumeReference;2;4;5;193676
AddSignal;2;8;9;567622
DeleteSignal;2;8;9;344673
AddConsumeReference;2;8;9;87366
DeleteConsumeReference;2;8;9;95445
AddSignal;4;1;2;549179
DeleteSignal;4;1;2;330564
AddConsumeReference;4;1;2;62150
DeleteConsumeReference;4;1;2;83555
AddSignal;4;2;3;247362
DeleteSignal;4;2;3;159071
AddConsumeReference;4;2;3;119847
DeleteConsumeReference;4;2;3;126230
AddSignal;4;4;5;151519
DeleteSignal;4;4;5;507688
AddConsumeReference;4;4;5;90251
DeleteConsumeReference;4;4;5;223497
AddSignal;4;8;9;118822
DeleteSignal;4;8;9;412187
AddConsumeReference;4;8;9;93005
DeleteConsumeReference;4;8;9;91117
AddSignal;4;16;17;89381
DeleteSignal;4;16;17;141203
AddConsumeReference;4;16;17;56039
DeleteConsumeReference;4;16;17;83816
AddSignal;8;1;2;276339
DeleteSignal;8;1;2;183511
AddConsumeReference;8;1;2;93904
DeleteConsumeReference;8;1;2;92843
AddSignal;8;2;3;151169
DeleteSignal;8;2;3;159986
AddConsumeReference;8;2;3;50008
DeleteConsumeReference;8;2;3;83598
AddSignal;8;4;5;209083
DeleteSignal;8;4;5;140044
AddConsumeReference;8;4;5;55147
DeleteConsumeReference;8;4;5;139668
AddSignal;8;8;9;65756
DeleteSignal;8;8;9;210203
AddConsumeReference;8;8;9;50173
DeleteConsumeReference;8;8;9;80875
AddSignal;8;16;17;75906
DeleteSignal;8;16;17;194936
AddConsumeReference;8;16;17;62876
DeleteConsumeReference;8;16;17;178989
AddSignal;8;32;33;175982
DeleteSignal;8;32;33;385185
AddConsumeReference;8;32;33;50274
DeleteConsumeReference;8;32;33;106623
AddSignal;16;1;2;124728
DeleteSignal;16;1;2;242071
AddConsumeReference;16;1;2;94977
DeleteConsumeReference;16;1;2;233735
AddSignal;16;2;3;72414
DeleteSignal;16;2;3;131569
AddConsumeReference;16;2;3;50599
DeleteConsumeReference;16;2;3;177771
AddSignal;16;4;5;147456
DeleteSignal;16;4;5;135122
AddConsumeReference;16;4;5;51664
DeleteConsumeReference;16;4;5;172068
AddSignal;16;8;9;68042
DeleteSignal;16;8;9;128156
AddConsumeReference;16;8;9;49442
DeleteConsumeReference;16;8;9;78904
AddSignal;16;16;17;74134
DeleteSignal;16;16;17;359922
AddConsumeReference;16;16;17;107809
DeleteConsumeReference;16;16;17;136116
AddSignal;16;32;33;72173
DeleteSignal;16;32;33;120599
AddConsumeReference;16;32;33;48175
DeleteConsumeReference;16;32;33;74919
AddSignal;16;64;65;73438
DeleteSignal;16;64;65;164262
AddConsumeReference;16;64;65;53584
DeleteConsumeReference;16;64;65;171551
AddSignal;32;1;2;73019
DeleteSignal;32;1;2;288251
AddConsumeReference;32;1;2;47715
DeleteConsumeReference;32;1;2;76436
AddSignal;32;2;3;73137
