ChangeType;ModelSize;UserSize;NumberOfLegs;ExecutionTime(nano)
DeleteSignal;32;2;3;276669
AddConsumeReference;32;2;3;51933
DeleteConsumeReference;32;2;3;81361
AddSignal;32;4;5;76223
DeleteSignal;32;4;5;209206
AddConsumeReference;32;4;5;57725
DeleteConsumeReference;32;4;5;82639
AddSignal;32;8;9;73497
DeleteSignal;32;8;9;290035
AddConsumeReference;32;8;9;52157
DeleteConsumeReference;32;8;9;82054
AddSignal;32;16;17;145672
DeleteSignal;32;16;17;129035
AddConsumeReference;32;16;17;103234
DeleteConsumeReference;32;16;17;77939
AddSignal;32;32;33;73421
DeleteSignal;32;32;33;116201
AddConsumeReference;32;32;33;50738
DeleteConsumeReference;32;32;33;73599
AddSignal;32;64;65;64383
DeleteSignal;32;64;65;114605
AddConsumeReference;32;64;65;65632
DeleteConsumeReference;32;64;65;74981
AddSignal;32;128;129;75747
DeleteSignal;32;128;129;154987
AddConsumeReference;32;128;129;53431
DeleteConsumeReference;32;128;129;147912
AddSignal;64;1;2;73129
DeleteSignal;64;1;2;152607
AddConsumeReference;64;1;2;48679
DeleteConsumeReference;64;1;2;76131
AddSignal;64;2;3;73991
DeleteSignal;64;2;3;126573
AddConsumeReference;64;2;3;47338
DeleteConsumeReference;64;2;3;72234
AddSignal;64;4;5;75439
DeleteSignal;64;4;5;157960
AddConsumeReference;64;4;5;49340
DeleteConsumeReference;64;4;5;92001
AddSignal;64;8;9;103991
DeleteSignal;64;8;9;125024
AddConsumeReference;64;8;9;106592
DeleteConsumeReference;64;8;9;149751
AddSignal;64;16;17;139036
DeleteSignal;64;16;17;214953
AddConsumeReference;64;16;17;143156
DeleteConsumeReference;64;16;17;161653
AddSignal;64;32;33;131441
DeleteSignal;64;32;33;380172
AddConsumeReference;64;32;33;104968
DeleteConsumeReference;64;32;33;100500
AddSignal;64;64;65;164816
DeleteSignal;64;64;65;205993
AddConsumeReference;64;64;65;51130
DeleteConsumeReference;64;64;65;86174
AddSignal;128;1;2;245517
DeleteSignal;128;1;2;580413
AddConsumeReference;128;1;2;111969
DeleteConsumeReference;128;1;2;216616
AddSignal;128;2;3;299850
DeleteSignal;128;2;3;450738
AddConsumeReference;128;2;3;406484
DeleteConsumeReference;128;2;3;239712
AddSignal;128;4;5;72060
DeleteSignal;128;4;5;369557
AddConsumeReference;128;4;5;56500
DeleteConsumeReference;128;4;5;136298
AddSignal;128;8;9;148864
DeleteSignal;128;8;9;283489
AddConsumeReference;128;8;9;48963
DeleteConsumeReference;128;8;9;287068
AddSignal;128;16;17;155098
DeleteSignal;128;16;17;163778
AddConsumeReference;128;16;17;101229
DeleteConsumeReference;128;16;17;169006
AddSignal;128;32;33;156697
DeleteSignal;128;32;33;285553
AddConsumeReference;128;32;33;45771
DeleteConsumeReference;128;32;33;137441
AddSignal;128;64;65;149700
DeleteSignal;128;64;65;554175
AddConsumeReference;128;64;65;61270
DeleteConsumeReference;128;64;65;124182
AddSignal;256;1;2;70068
DeleteSignal;256;1;2;408518
AddConsumeReference;256;1;2;109303
DeleteConsumeReference;256;1;2;151037
AddSignal;256;2;3;153275
DeleteSignal;256;2;3;289890
AddConsumeReference;256;2;3;100843
DeleteConsumeReference;256;2;3;163859
AddSignal;256;4;5;214711
DeleteSignal;256;4;5;365434
AddConsumeReference;256;4;5;51071
DeleteConsumeReference;256;4;5;239559
AddSignal;256;8;9;130194
DeleteSignal;256;8;9;289710
AddConsumeReference;256;8;9;54915
DeleteConsumeReference;256;8;9;80000
AddSignal;256;16;17;74373
DeleteSignal;256;16;17;134755
AddConsumeReference;256;16;17;109122
DeleteConsumeReference;256;16;17;89203
AddSignal;256;32;33;70800
DeleteSignal;256;32;33;133151
AddConsumeReference;256;32;33;50841
DeleteConsumeReference;256;32;33;279004
